Licensee,DBA,License #,Street Address ,City,Zip 
MESA GREENS LLC,DOCTORS ORDERS,402R-00525, 3321 South 1-25,Pueblo,81004
MESA ORGANICS LTD,MESA ORGANICS,402R-00514,30899 Highway 50 East,Pueblo,81006
METRO CANNABIS INC,SILVER STEM FINE CANNABIS,402R-00102,8151 East Colfax Avenue,Denver,80220
MGI INC,THE GRASS STATION,402R-00009,4125 Elati Street,Denver,80216
MIDDLE BOULDER MANAGEMENT LLC,GROWHOUSE NED,402R-00461,"150 North Jefferson Street, Units B3 & B7",Nederland,80466
MILAGRO WELLNESS HEALING LLC,MIND BODY SPIRIT 2,402R-00145,811 County Road 308,Downieville,80436
MILE HIGH DISPENSARY LLC,,402R-00419,"1350 South Sheridan Boulevard, Unit 1&2",Denver,80232
MILE HIGH GREEN CROSS LLC,,402R-00449,852 North Broadway,Denver,80203
MILE HIGH MEDICAL CANNABIS LLC,STONY HILL BY TRU CANNABIS,402R-00045,"1630 Federal Boulevard, Unit B",Denver,80204
MILE HIGH MEDICAL LLC,MMJ AMERICA UPTOWN,402R-00019,2042 Arapahoe Street,Denver,80205
MILE HIGH THERAPEUTIC NETWORK LLC,ALTITUDE WEST,402R-00011,1568 South Federal Boulevard,Denver,80219
MILE HIGH WELLNESS II LLC,MILE HIGH WELLNESS GREEN STREET,402R-00445,2291 South Kalamath Street,Denver,80223
MISSKAT INC,FROSTY LEAF,402R-00521,"500 West Highway 50, Suite 102",Gunnison,81230
MJLQ LLC,WHOLE MEDS,402R-00495,3450 Brighton Boulevard,Denver,80216
MMJ AMERICA INC,BOULDER MMJ,402R-00338,1909 Broadway LL,Boulder,80302
MMJ SHERIDAN LLC,MMJ AMERICA SHERIDAN,402R-00592,5201 West 48th Aveune,Denver,80212
MMST LLC,WELLSPRING COLLECTIVE,402R-00032,1724 South Broadway,Denver,80210
MODERN MEDICINE LLC,ALTITUDE ORGANIC CANNABIS,402R-00394,817 Little Beaver Trail,Dillon,80435
MONTEM PHARMLABS LIMITED,MONTEM LABS,402R-00580,513 Main Street,Alma,80420
MOUNTAIN MEDICINALS INC,MOUNTAIN MEDICINIALS RETAIL CENTER,402R-00161,2313 Colorado Boulevard,Idaho Springs,80452
MOUNTAIN STATES GROUP I LLC,TRU CANNABIS AURORA,402R-00323,719 Billings Street,Aurora,80011
NATURAL ALTERNATIVES FOR HEALTH LLC,,402R-00477,6712 South College Avenue,Fort Collins,80525
NATURAL CHOICE CO-OP,NATURAL CHOICE,402R-00127,"2835 Downhill Plaza, Unit 604",Steamboat Springs,80487
NATURES BEST LLC,,402R-00460,4601 East Mississippi Avenue,Glendale,80246
NATURES CURE III LLC,THE COLFAX POT SHOP,402R-00030,1500 East Colfax Avenue,Denver,80218
NATURES GIFT SHOP LLC,,402R-00359,148 East Assembly Drive,Pueblo West,81007
NATURES HERBS & WELLNESS CENTER,,402R-00052,540  27th Street,Garden City,80631
NATURES HERBS & WELLNESS CENTER II,,402R-00341,17224 North Frontage Road,Log Lane Village,80705
NEW AGE MEDICAL LLC,,402R-00179,2553 Sheridan Boulevard,Edgewater,80214
NEW HOPE WELLNESS CENTER LLC,TUMBLEWEED DISPENSARY EDWARDS,402R-00257,"57 Edwards Access Road, Suite 20",Edwards,81632
NEW WORLD ALTERNATIVE HEALTHCARE LLC,TELLURIDE BUD COMPANY,402R-00149,135 South Spruce Street,Telluride,81435
NEW WORLD ALTERNATIVE HEALTHCARE LLC,TELLURIDE BUD COMPANY,402R-00402,"3473 Main Avenue, Units 10&11",Durango,81302
NINE POUND HAMMER LLC,,402R-00527,1325 South Public Road,Lafayette,80026
NORTH FEDERAL LLC,THE GROVE,402R-00006,74 Federal Boulevard,Denver,80219
NORTHERN LIGHTS NATURALS LLC,NORTHERN LIGHTS CANNABIS CO.,402R-00043,2045 Sheridan Boulevard Unit B,Edgewater,80214
NUTRITIONAL ELEMENTS INC,THE HEALTH CENTER,402R-00020,2777 South Colorado Boulevard,Denver,80222
O LIMITED,SILVER STEM FINE CANNABIS,402R-00116,"1 West 1st Street, Suite 1D",Nederland,80466
OPTIONS MEDICAL CENTER LLC,ELEMENTS,402R-00198,1534 55th Street,Boulder,80303
OPTIONS MEDICAL CENTER WR LLC,OPTIONS,402R-00184,9085 West 44th Avenue,Wheat Ridge,80033
ORGANIC ALTERNATIVES LLC,ORGANIC ALTERNATIVES,402R-00220,346 East Mountain Avenue,Fort Collins,80524
ORGANIC GREENS INC,NATURAL REMEDIES,402R-00054,"1620 Market Street, Suite 5W",Denver,80202
ORGANIC WELLNESS DISPENSARY LLC,GREEN TREE MEDICINALS,402R-00536,"5565 Arapahoe Avenue, Suite G",Boulder,80308
ORGANIX LLC,,402R-00064,"1795 Airport Road, Suite A2",Breckenridge,80424
OSIRIS LLC,,402R-00486,2150 Devereux Road,Glenwood Springs,81601
OSIRIS LLC,BDE,402R-00585,"520 East Cooper Avenue, Suite 202A",Aspen,81611
PARACHUTE GREEN JOINT LLC,THE GREEN JOINT,402R-00518,"315 East 1st Street, Suite A",Parachute,81635
PATIENTS CHOICE OF COLORADO LLC,,402R-00048,2251 South Broadway,Denver,80210
PATIENTS PLUS LLC,GENERATION HEALTH,402R-00218,4495 Washington Street,Denver,80216
PEAK HOLDINGS GROUP LLC,PEAK DISPENSARY,402R-00340,260 Broadway,Denver,80203
PHYSICIAN PREFERRED PRODUCTS LLC,DOCS APOTHECARY,402R-00146,"2100 East 112th Avenue, Suite 5",Northglenn,80233
PLATTE VALLEY DISPENSARY LLC,PLATTE VALLET DISPENSARY,402R-00224,"2301 7th Street, Suite B",Denver,80211
PREFERRED ORGANIC THERAPY & WELLNESS LLC,PREFERRED ORGANIC THERAPY & WELLNESS,402R-00442,1569 South Colorado Boulevard,Denver,80222
PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,402R-00123,"609 East Enterprise Drive, Suite 130",Pueblo West,81007
PURE INDUSTRIES LLC,SOMA WELLNESS CENTER,402R-00205,"423 Belleview Avenue, Unit 1",Crested Butte,81224
PURE INDUSTRIES LLC,,402R-00499,"500 West Highway 50, Unit 101",Gunnison,81230
R.D. INDUSTRIES II LLC,HOUSE OF DANKNESS,402R-00044,10555 E 45th Ave,Denver,80239
RESERVE1 LLC,EMERALD FIELDS,402R-00376,"4182 East Virginia Avenue, Unit C",Glendale,80246
RESERVE1 MANITOU LLC,EMERALD FIELDS,402R-00375,27 Manitou Avenue,Manitou Springs,80829
RFSCA LLC,ROOTS RX,402R-00487,"400 East Hyman, Unit A102",Aspen,81611
RFSCB LLC,ROOTS RX,402R-00246,165 Southside Drive,Basalt,81621
RFSCED LLC,ROOTS RX,402R-00571,"0105 Edwards Village Boulevard, Ste E202",Edwards,81632
RFSCEV LLC,ROOTS RX,402R-00242,"40690 Highway 6, Suite E-2",Avon,81620
RFSCG LLC,ROOTS RX,402R-00505,1198 B North Main Street,Gunnison,81230
RFSCLV LLC,ROOTS RX,402R-00362,145 Front Street,Leadville,80461
RIFLE REMEDIES LLC,GREEN CROSS SILT,402R-00259,502 Front Street,Silt,81652
RINO SUPPLY CO INC,,402R-00558,3100 Blake Street,Denver,80205
RIVERROCK LLC,RIVERROCK,402R-00125,4935 York Street,Denver,80216
RJJ ADAMS LLC,NATIVE ROOTS NORTH DENVER,402R-00493,620 East 58th Avenue,Denver,80216
RJJ ASPEN LLC,NATIVE ROOTS ASPEN,402R-00379,308 South Hunter Street,Aspen,81611
RJJ DILLON LLC,NATIVE ROOTS DILLON,402R-00434,850 Little Beaver Trail,Dillon,80435
RJJ EDGEWATER LLC,NATIVE ROOTS EDGEWATER,402R-00335,5610 West 20th Avenue,Edgewater,80214
RJJ FRISCO LLC,NATIVE ROOTS FRISCO,402R-00363,861 North Summit Boulevard,Frisco,80443
RJJ HIGHLANDS LLC,NATIVE ROOTS HIGHLANDS,402R-00368,2209 West 32nd Avenue,Denver,80211
RJJ LONGMONT LLC,NATIVE ROOTS LONGMONT,402R-00416,19 South Sunset Drive,Longmont,80501
RJJ MORRISON LLC,NATIVE ROOTS BEAR VALLEY,402R-00593,"3150 South Sheridan Boulvard, Unit 2",Denver,80227
RJJ SANTA FE LLC,NATIVE ROOTS SANTA FE,402R-00484,"2645 South Santa Fe Drive, Units D & E",Denver,80223
RJJ SHERIDAN LLC,NATIVE ROOTS LITTLETON,402R-00380,7870 West Quincy Avenue,Denver,80123
RJJ TOWER LLC,NATIVE ROOTS DENVER AIRPORT,402R-00598,7050 Tower Road,Denver,80249
RJJ TOWER LLC,NATIVE ROOTS TOWER,402R-00599,1905 Division Street,Denver,80202
RK ENTERPRISES LTD,ROCKY MOUNTAIN REMEDIES,402R-00136,"2730 Downhill Plaza, #106",Steamboat Springs,80487
RME GROUP LLC,AFFINITY,402R-00519,7739 East Colfax Avenue,Denver,80220
RMIG LLC,THE BUD DEPOT,402R-00358,"138 Main Street, Unit 6A",Lyons,80540
ROCKY MOUNTAIN BLISS LLC,ROCKY MOUNTAIN CANNABIS,402R-00270,"112 Village Square West, Suite 110",Ridgway,81432
ROCKY MOUNTAIN FARMACY INC,THE SHELTER,402R-00010,4095 Jackson Street,Denver,80216
ROCKY ROAD REMEDIES LLC,ROCKY ROAD VAIL,402R-00226,"40814 Highway 6, Units C & D",Avon,81620
ROYAL ASSET MANAGEMENT LLC,ROYAL RESIN,402R-00540,2949 West Alameda Avenue,Denver,80219
RRAW LLC,ROCKY ROAD AURORA,402R-00307,1712 South Chambers Road,Aurora,80017
SAN JUAN STRAINS INC,SAN JUAN STRAINS INC,402R-00542,"356 East Pagosa Street, Unit B",Pagosa Springs,81147
SERENE WELLNESS FRASER LLC,,402R-00312,228 Byers Avenue,Fraser,80442
SERENE WELLNESS LLC,,402R-00065,13 East Park Avenue,Empire,80438
SERENE WELLNESS V LLC,SERENE WELLNESS WINTER PARK LLC,402R-00559,"79025 US Highway 40, Units 5-6",Winter Park,80482
SERENITY MOON WELLNESS CENTER LLC,FROSTED LEAF,402R-00186,399 South Harrison Street,Denver,80209
SERENITY MOON WELLNESS CENTER LLC,FROSTED LEAF,402R-00240,6302 East Colfax Avenue,Denver,80220
SHRED INVESTMENTS LLC,HIGH WEST CANNABIS,402R-00498,"10625 East 51st Avenue, Unit 100",Denver,80239
SIMPLY PURE COLORADO LLC,SIMPLY PURE,402R-00510,2000 West 32nd Avenue,Denver,80211
SIPES MOUNTAIN TRADERS LLC,NATURE'S SPIRIT,402R-00170,113 East 7th Street,Leadville,80461
SISSCO LLC,TRENCHTOWN,402R-00251,734 Sheridan Boulevard,Denver,80214
SKINNY PINEAPPLE INC,THE FARM,402R-00210,2801 Iris Avenue,Boulder,80301
SMOKED COLORADO INC,SMOKED,402R-00600,2268 South Delaware Street,Denver,80223
SMOKING GUN LLC,SMOKINGUN APOTHECARY,402R-00262,492 South Colorado Boulevard,Glendale,80246
SOLACE MEDS LLC,SOLACE MEDS LLC,402R-00239,"301 Smokey Street, Unit A",Fort Collins,80525
SOLACE MEDS OF WHEAT RIDGE LLC,,402R-00153,4845 Van Gordon,Wheat Ridge,80033
SOUTHERN COLORADO CANNABIS CLUB LLC,,402R-00508,29577 Highway 159,Fort Garland,81133
SOUTHERN COLORADO THERAPEUTICS INC,HIGHLAND HEALTH,402R-00372,1505 Santa Fe Trail Drive,Trinidad,81082
SOUTHWEST ALTERNATIVE CARE LLC,,402R-00515,3937 West Colfax Avenue,Denver,80204
SOUTHWEST SUNSHINE LLC,THE DOOBIE SISTERS,402R-00563,695 North Broadway,Cortez,81321
SP CARBONDALE RETAIL LLC,,402R-00467,259 Main Street,Carbondale,81623
STARBUDS ALAMEDA LLC,STARBUDS,402R-00177,428 South McCulloch Boulevard,Pueblo West,81007
STARBUDS AURORA LLC,STARBUDS,402R-00267,"1408 Del Mar Parkway, Units D1 & D2",Aurora,80010
STARBUDS COMMERCE CITY LLC,STARBUDS,402R-00577,5844 Dahlia Street,Commerce City,80022
STARBUDS LOUISVILLE LLC,STARBUDS,402R-00214,"1156 West Dillon Road, Unit 3",Louisville,80027
STARBUDS NIWOT LLC,STARBUDS,402R-00594,6924 North 79th Street,Niwot,80503
STARBUDS PUEBLO LLC,STARBUDS,402R-00410,4305 Thatcher Avenue,Pueblo,81005
STARRYNIGHT MANAGEMENT LLC,ROOTED,402R-00605,110 Santa Fe Trail,Trinidad,81082
STONE T.M.C. LLC,THE STONE DISPENSARY,402R-00494,4820 Morrison Road,Denver,80219
SUMMIT WELLNESS,DEN-REC DENVER RECREATIONAL DISPENSARY,402R-00133,"2117 Larimer Street, #1",Denver,80205
SUNRISE SOLUTIONS LLC,,402R-00147,43 Main Street,Bailey,80421
SUSTAINABLE HEALTH LLC,14er HOLISTICS,402R-00208,"2897 Mapleton Avenue, Suite 800",Boulder,80301
SWEET LEAF LLC,SWEET LEAF,402R-00158,5100 West 38th Avenue,Denver,80223
SWEET LEAF PIONEER CARBONDALE LLC,,402R-00428,"1101 Village Road, Suites UL-4B + 5B",Carbondale,81623
SWEET LEAF PIONEER LLC,,402R-00211,"1286 Chambers Avenue, Suite 101",Eagle,81631
SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,402R-00031,330 East Colfax Avenue,Denver,80203
SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,402R-00275,16840 East Iliff Avenue,Aurora,80013
SYLS LLC,STRAWBERRY FIELDS,402R-00537,2285 North Interstate 25,Pueblo,81008
TASTEBUDZ LLC,AROMA,402R-00550,5433 Quebec Street,Commerce City,80022
TELLURIDE GREEN ROOM LLC,TELLURIDE GREEN ROOM,402R-00134,"250 South Fir Street, #5 & #6",Telluride,81435
TENDERFOOT HEALTH COLLECTIVE,,402R-00381,"840 Oak Street,  Suite A & B",Salida,81201
TETRAHYDROCENTER LLC,TETRAHYDROCENTER,402R-00059,9206 East Hampden Avenue,Denver,80231
THE ACCEPTUS GROUP LLC,COLORADO GROW COMPANY,402R-00343,965 1/2  Main Avenue,Durango,81301
THE CANNABIST CASTLE SUPERMARKET & DISPENSARY LOUNGE LLC,THE KIND CASTLE,402R-00526,248 East First Street,Parachute,81635
THE COLORADO CANNABIS CABIN LLC,,402R-00533,650 B South 11th Street,Gunnison,81230
THE GENETIC LOCKER INC,TERRAPIN CARE STATION,402R-00142,"1 Broadway, Unit A-150",Denver,80203
THE GENETIC LOCKER INC,TERRAPIN CARE STATION,402R-00175,1795 Folsom Street,Boulder,80302
THE GIVING TREE OF DENVER LLC,,402R-00113,2707 West 38th Avenue,Denver,80211
THE GOOD SEED,THE GOOD SEED,402R-00549,235 Bastille Drive,Pagosa Springs,81147
THE GREEN SOLUTION LLC,,402R-00014,470 Malley Drive,Northglenn,80233
THE GREEN SOLUTION LLC,,402R-00015,4400 Grape Street,Denver,80216
THE GREEN SOLUTION LLC,,402R-00016,2601 West Alameda Avenue,Denver,80219
THE GREEN SOLUTION LLC,,402R-00297,350 South Potomac Street,Aurora,80012
THE GREEN SOLUTION LLC,,402R-00298,6020 West 20th Avenue,Edgewater,80214
THE GREEN SOLUTION LLC,,402R-00299,645 Water Street,Silver Plume,80476
THE GREEN SOLUTION LLC,,402R-00300,3179 South Peoria Court,Aurora,80014
THE GREEN SOLUTION LLC,,402R-00302,"1450 Havana Street, Suites C & D",Aurora,80010
THE GREEN SOLUTION LLC,,402R-00303,14301 East Colfax Avenue,Aurora,80011
THE GREEN SOLUTION LLC,,402R-00474,6681 Federal Boulevard,Denver,80221
THE GREEN SOLUTION LLC,,402R-00501,810 North College Avenue,Fort Collins,80524
THE GREEN SOLUTION LLC,,402R-00582,1423 Santa Fe Trail,Trinidad,81082
THE GREEN SOLUTION LLC,,402R-00583,409 North Commercial Street,Trinidad,81082
THE GROWING KITCHEN LLC,THE GROWING KITCHEN,402R-00532,8401 Baseline Road,Boulder,80303
THE HERBAL CURE LLC,,402R-00139,985 South Logan Street,Denver,80209
THE KINE MINE LLC,,402R-00115,2818 Colorado Boulevard,Idaho Springs,80452
THE MEDICINE MAN LLC,,402R-00390,310 East Main Street,Cortez,81321
THE ORGANIC SEED LLC,CANNASSEUR,402R-00196,41 North Precision Drive,Pueblo West,81007
THE POT SHOP LLC,THE POT SHOP LLC,402R-00566,905 North Main Street #B,Gunnison,81230
THREE RIVERS DEVELOPMENT LLC,THREE RIVERS ORGANICS,402R-00556,1714 B Santa Fe Drive,Pueblo,81006
TIMBERLINE HERBAL CLINIC AND WELLNESS CENTER LLC,,402R-00087,3995 East 50th Avenue,Denver,80216
TMED LLC,THE GRASS STATION,402R-00109,7200 East Smith Road,Denver,80207
TREATMENTS UNLIMITED LLC,ALTITUDE EAST,402R-00024,6858 East Evans Avenue,Denver,80224
TREATMENTS UNLIMITED LLC,ALTITUDE AURORA,402R-00301,10455 East Colfax Avenue,Aurora,80010
TRI CANNA LLC,,402R-00570,411 North Commercial Street,Trinidad,81082
TRILL THERAPEUTICS LLC,TRILL ALTERNATIVES,402R-00588,"1537 Pearl Street, Suite B",Boulder,80302
TRINIDAD HARVESTING COMPANY LLC,TRINIDAD HARVESTING COMPANY LLC,402R-00604,3601 Freedom Road,Trinidad,81082
TRINIDADS HIGHER CALLING U LLC,,402R-00271,1000 Independence Road,Trinidad,81082
TWOG FEDERAL LLC,BUDDY BOY,402R-00603,2426 South Federal Boulevard,Denver,80219
TWOG YORK LLC,BUDDY BOY,402R-00412,5050 York Street,Denver,80216
TWOG-WALNUT LLC,BUDDY BOY,402R-00385,3814 Walnut Street,Denver,80216
TZ FINANCIAL LLC,HIGH COUNTRY HEALING,402R-00095,"191 Blue River Parkway, #202",Silverthorne,80498
UNIVERSAL HERBS LLC,UNIVERSAL HERBS,402R-00573,"755 South Jason Street, Unit 100",Denver,80223
UNIVERSAL HERBS LLC,UNIVERSAL HERBS,402R-00602,800 Park Avenue West,Denver,80205
URBAN CANNABIS LLC,HEALING HOUSE,402R-00041,2383 South Downing Street,Denver,80210
URBAN HEALTH & WELLNESS INC,URBAN DISPENSARY,402R-00458,2675 West 38th Avenue,Denver,80211
VAIL BUD BREWERY LLC,HIGH COUNTRY HEALING 8,402R-00405,"40801 Highway 6, Suite 5",Avon,81620
VALLEY MEDS LLC,VALLEY MEDS LLC,402R-00513,1805 Sante Fe Drive Unit E,Pueblo,81006
VERTS LLC,VERTICAL,402R-00545,"1240 West Elizabeth Street, Unit C",Fort Collins,80521
VILLAGE RETAIL LLC,PARK RANGE RECREATIONALS,402R-00483,"100 West Main Street, Unit A",Oak Creek,80467
VITA MEDS LLC,MR NICE GUYS,402R-00500,4501 Adams Street,Denver,80216
WALKING RAVEN II LLC,WALKING RAVEN II,402R-00058,2001 South Broadway,Denver,80210
WANNA LLC,NORTHERN LIGHTS CANNABIS CO,402R-00100,183 West Alameda Avenue,Denver,80223
WASH PARK BOUTIQUE LLC,LUCY SKY DISPENSARY,402R-00159,2215 East Mississippi Avenue,Denver,80210
WASH PARK BOUTIQUE LLC,LUCY SKY DISPENSARY,402R-00497,2394 South Broadway,Denver,80210
WASH PARK BOUTIQUE LLC,LUCY SKY DISPENSARY,402R-00572,"3480 South Galena Street, Unit B4",Denver,80231
WASHINGTON POINT MANAGEMENT LLC,GROWHOUSE NORTHGLENN,402R-00529,11919 Washington Street,Northglenn,80233
WDG INC,BEMINDFUL,402R-00085,5926 East Colfax Avenue,Denver,80220
WELLNESS CENTER OF THE ROCKIES INC,,402R-00399,6853 Leetsdale Drive,Denver,80224
WESTERN REMEDIES LLC,THE HAVEN,402R-00005,"777 Canosa Court, Suite 102",Denver,80204
WESTSIDE WELLNESS CENTER LLC,MAGGIE'S FARM LLC,402R-00222,1400 Santa Fe Drive Suites A & B,Pueblo,81006
WHITE PORCH LLC,,402R-00538,827 North Main Street,Gunnison,81230
WILLOW NORTH LLC,BUD FARM,402R-00432,385 North Willow,Mancos,81328
WISE CANNABIS CO LLC,,402R-00531,21950 Highway 285,Fairplay,80440
XG PLATINUM CORPORATION,,402R-00122,2506  6th Avenue,Garden City,80631
ZBZ CORP,ANTERO JUNCTION,402R-00250,100 West Highway 24,Hartsel,80449
