State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
New Mexico,2001,155,1831690,8.5,7.1,9.8,138
New Mexico,2002,205,1855309,11,9.5,12.6,142
New Mexico,2003,228,1877574,12.1,10.6,13.7,149
New Mexico,2004,192,1903808,10.1,8.7,11.5,155
New Mexico,2005,219,1932274,11.3,9.8,12.8,163
New Mexico,2006,252,1962137,12.8,11.3,14.4,174
New Mexico,2007,272,1990070,13.7,12,15.3,184
New Mexico,2008,330,2010662,16.4,14.6,18.2,196
New Mexico,2009,212,2036802,10.4,9,11.8,202
New Mexico,2010,201,2059179,9.8,8.4,11.1,210
New Mexico,2011,254,2082224,12.2,10.7,13.7,219
New Mexico,2012,339,2085538,16.3,14.5,18,217
New Mexico,2013,350,2085287,16.8,15,18.5,207
New Mexico,2014,416,2085572,19.9,18,21.9,196
New York,1999,664,18882725,3.5,3.2,3.8,116
New York,2000,521,18976457,2.7,2.5,3,126
New York,2001,654,19082838,3.4,3.2,3.7,138
New York,2002,586,19137800,3.1,2.8,3.3,142
New York,2003,614,19175939,3.2,2.9,3.5,149
New York,2004,514,19171567,2.7,2.4,2.9,155
New York,2005,580,19132610,3,2.8,3.3,163
New York,2006,1056,19104631,5.5,5.2,5.9,174
New York,2007,1064,19132335,5.6,5.2,5.9,184
New York,2008,1169,19212436,6.1,5.7,6.4,196
New York,2009,1107,19307066,5.7,5.4,6.1,202
New York,2010,1115,19378102,5.8,5.4,6.1,210
New York,2011,1417,19465197,7.3,6.9,7.7,219
New York,2012,1576,19570261,8.1,7.7,8.5,217
New York,2013,1732,19651127,8.8,8.4,9.2,207
New York,2014,1787,19746227,9,8.6,9.5,196
North Carolina,1999,161,7949361,2,1.7,2.3,116
North Carolina,2000,292,8049313,3.6,3.2,4,126
North Carolina,2001,342,8210122,4.2,3.7,4.6,138
North Carolina,2002,412,8326201,4.9,4.5,5.4,142
North Carolina,2003,506,8422501,6,5.5,6.5,149
North Carolina,2004,576,8553152,6.7,6.2,7.3,155
North Carolina,2005,659,8705407,7.6,7,8.1,163
North Carolina,2006,708,8917270,7.9,7.4,8.5,174
North Carolina,2007,758,9118037,8.3,7.7,8.9,184
North Carolina,2008,859,9309449,9.2,8.6,9.8,196
North Carolina,2009,864,9449566,9.1,8.5,9.8,202
North Carolina,2010,787,9535483,8.3,7.7,8.8,210
North Carolina,2011,829,9656401,8.6,8,9.2,219
North Carolina,2012,841,9752073,8.6,8,9.2,217
North Carolina,2013,840,9848060,8.5,8,9.1,207
North Carolina,2014,979,9943964,9.8,9.2,10.5,196
North Dakota,1999,Suppressed,644259,Suppressed,Suppressed,Suppressed,116
North Dakota,2000,Suppressed,642200,Suppressed,Suppressed,Suppressed,126
North Dakota,2001,Suppressed,639062,Suppressed,Suppressed,Suppressed,138
North Dakota,2002,14,638168,Unreliable,1.2,3.7,142
North Dakota,2003,10,638817,Unreliable,0.8,2.9,149
North Dakota,2004,13,644705,Unreliable,1.1,3.4,155
North Dakota,2005,Suppressed,646089,Suppressed,Suppressed,Suppressed,163
North Dakota,2006,Suppressed,649422,Suppressed,Suppressed,Suppressed,174
North Dakota,2007,17,652822,Unreliable,1.5,4.2,184
North Dakota,2008,32,657569,4.9,3.3,6.9,196
North Dakota,2009,18,664968,Unreliable,1.6,4.3,202
North Dakota,2010,18,672591,Unreliable,1.6,4.2,210
North Dakota,2011,10,683932,Unreliable,0.7,2.7,219
North Dakota,2012,Suppressed,699628,Suppressed,Suppressed,Suppressed,217
North Dakota,2013,14,723393,Unreliable,1.1,3.2,207
North Dakota,2014,34,739482,4.6,3.2,6.4,196
Ohio,1999,180,11335454,1.6,1.4,1.8,116
Ohio,2000,270,11353140,2.4,2.1,2.7,126
Ohio,2001,356,11387404,3.1,2.8,3.5,138
Ohio,2002,459,11407889,4,3.7,4.4,142
Ohio,2003,398,11434788,3.5,3.1,3.8,149
Ohio,2004,557,11452251,4.9,4.5,5.3,155
Ohio,2005,591,11463320,5.2,4.7,5.6,163
Ohio,2006,675,11481213,5.9,5.4,6.3,174
Ohio,2007,755,11500468,6.6,6.1,7,184
Ohio,2008,863,11515391,7.5,7,8,196
Ohio,2009,716,11528896,6.2,5.8,6.7,202
Ohio,2010,1197,11536504,10.4,9.8,11,210
Ohio,2011,1333,11544951,11.5,10.9,12.2,219
Ohio,2012,1403,11544225,12.2,11.5,12.8,217
Ohio,2013,1695,11570808,14.6,14,15.3,207
Ohio,2014,2175,11594163,18.8,18,19.5,196
Oklahoma,1999,91,3437147,2.6,2.1,3.3,116
Oklahoma,2000,136,3450654,3.9,3.3,4.6,126
Oklahoma,2001,170,3467100,4.9,4.2,5.6,138
Oklahoma,2002,152,3489080,4.4,3.7,5,142
Oklahoma,2003,262,3504892,7.5,6.6,8.4,149
Oklahoma,2004,325,3525233,9.2,8.2,10.2,155
Oklahoma,2005,319,3548597,9,8,10,163
Oklahoma,2006,394,3594090,11,9.9,12,174
Oklahoma,2007,500,3634349,13.8,12.6,15,184
Oklahoma,2008,416,3668976,11.3,10.2,12.4,196
Oklahoma,2009,583,3717572,15.7,14.4,17,202
Oklahoma,2010,523,3751351,13.9,12.7,15.1,210
Oklahoma,2011,492,3791508,13,11.8,14.1,219
Oklahoma,2012,538,3814820,14.1,12.9,15.3,217
Oklahoma,2013,521,3850568,13.5,12.4,14.7,207
Oklahoma,2014,504,3878051,13,11.9,14.1,196
Oregon,1999,201,3393941,5.9,5.1,6.7,116
Oregon,2000,178,3421399,5.2,4.4,6,126
Oregon,2001,198,3467937,5.7,4.9,6.5,138
Oregon,2002,247,3513424,7,6.2,7.9,142
Oregon,2003,264,3547376,7.4,6.5,8.3,149
Oregon,2004,274,3569463,7.7,6.8,8.6,155
Oregon,2005,318,3613202,8.8,7.8,9.8,163
Oregon,2006,396,3670883,10.8,9.7,11.9,174
Oregon,2007,362,3722417,9.7,8.7,10.7,184
Oregon,2008,348,3768748,9.2,8.3,10.2,196
Oregon,2009,382,3808600,10,9,11,202
Oregon,2010,337,3831074,8.8,7.9,9.7,210
Oregon,2011,402,3871859,10.4,9.4,11.4,219
Oregon,2012,369,3899353,9.5,8.5,10.4,217
Oregon,2013,310,3930065,7.9,7,8.8,207
Oregon,2014,347,3970239,8.7,7.8,9.7,196
Pennsylvania,1999,328,12263805,2.7,2.4,3,116
Pennsylvania,2000,330,12281054,2.7,2.4,3,126
Pennsylvania,2001,266,12298970,2.2,1.9,2.4,138
Pennsylvania,2002,357,12331031,2.9,2.6,3.2,142
Pennsylvania,2003,481,12374658,3.9,3.5,4.2,149
Pennsylvania,2004,484,12410722,3.9,3.6,4.2,155
Pennsylvania,2005,524,12449990,4.2,3.8,4.6,163
Pennsylvania,2006,429,12510809,3.4,3.1,3.8,174
Pennsylvania,2007,501,12563937,4,3.6,4.3,184
Pennsylvania,2008,620,12612285,4.9,4.5,5.3,196
Pennsylvania,2009,654,12666858,5.2,4.8,5.6,202
Pennsylvania,2010,640,12702379,5,4.6,5.4,210
Pennsylvania,2011,770,12742886,6,5.6,6.5,219
Pennsylvania,2012,840,12763536,6.6,6.1,7,217
Pennsylvania,2013,970,12773801,7.6,7.1,8.1,207
Pennsylvania,2014,1110,12787209,8.7,8.2,9.2,196
Rhode Island,1999,36,1040402,3.5,2.4,4.8,116
Rhode Island,2000,61,1048319,5.8,4.5,7.5,126
Rhode Island,2001,86,1057142,8.1,6.5,10,138
Rhode Island,2002,77,1065995,7.2,5.7,9,142
Rhode Island,2003,108,1071342,10.1,8.2,12,149
Rhode Island,2004,80,1074579,7.4,5.9,9.3,155
Rhode Island,2005,122,1067916,11.4,9.4,13.5,163
Rhode Island,2006,132,1063096,12.4,10.3,14.5,174
Rhode Island,2007,89,1057315,8.4,6.8,10.4,184
Rhode Island,2008,133,1055003,12.6,10.5,14.7,196
Rhode Island,2009,117,1053646,11.1,9.1,13.1,202
Rhode Island,2010,112,1052567,10.6,8.7,12.6,210
Rhode Island,2011,145,1051302,13.8,11.5,16,219
Rhode Island,2012,143,1050292,13.6,11.4,15.8,217
Rhode Island,2013,195,1051511,18.5,15.9,21.1,207
Rhode Island,2014,211,1055173,20,17.3,22.7,196
South Carolina,1999,50,3974682,1.3,0.9,1.7,116
South Carolina,2000,90,4012012,2.2,1.8,2.8,126
South Carolina,2001,89,4064995,2.2,1.8,2.7,138
South Carolina,2002,85,4107795,2.1,1.7,2.6,142
South Carolina,2003,95,4150297,2.3,1.9,2.8,149
South Carolina,2004,134,4210921,3.2,2.6,3.7,155
South Carolina,2005,154,4270150,3.6,3,4.2,163
South Carolina,2006,234,4357847,5.4,4.7,6.1,174
South Carolina,2007,206,4444110,4.6,4,5.3,184
South Carolina,2008,228,4528996,5,4.4,5.7,196
South Carolina,2009,248,4589872,5.4,4.7,6.1,202
South Carolina,2010,278,4625364,6,5.3,6.7,210
South Carolina,2011,249,4679230,5.3,4.7,6,219
South Carolina,2012,245,4723723,5.2,4.5,5.8,217
South Carolina,2013,250,4774839,5.2,4.6,5.9,207
South Carolina,2014,530,4832482,11,10,11.9,196
South Dakota,1999,Suppressed,750412,Suppressed,Suppressed,Suppressed,116
South Dakota,2000,Suppressed,754844,Suppressed,Suppressed,Suppressed,126
South Dakota,2001,10,757972,Unreliable,0.6,2.4,138
South Dakota,2002,13,760020,Unreliable,0.9,2.9,142
South Dakota,2003,10,763729,Unreliable,0.6,2.4,149
South Dakota,2004,21,770396,2.7,1.7,4.2,155
South Dakota,2005,22,775493,2.8,1.8,4.3,163
South Dakota,2006,24,783033,3.1,2,4.6,174
South Dakota,2007,21,791623,2.7,1.6,4.1,184
South Dakota,2008,32,799124,4,2.7,5.7,196
South Dakota,2009,35,807067,4.3,3,6,202
South Dakota,2010,33,814180,4.1,2.8,5.7,210
South Dakota,2011,35,824082,4.2,3,5.9,219
South Dakota,2012,26,833354,3.1,2,4.6,217
South Dakota,2013,34,844877,4,2.8,5.6,207
South Dakota,2014,33,853175,3.9,2.7,5.4,196
Tennessee,1999,91,5638706,1.6,1.3,2,116
Tennessee,2000,103,5689283,1.8,1.5,2.2,126
Tennessee,2001,145,5750789,2.5,2.1,2.9,138
Tennessee,2002,179,5795918,3.1,2.6,3.5,142
Tennessee,2003,312,5847812,5.3,4.7,5.9,149
Tennessee,2004,403,5910809,6.8,6.2,7.5,155
Tennessee,2005,466,5991057,7.8,7.1,8.5,163
Tennessee,2006,483,6088766,7.9,7.2,8.6,174
Tennessee,2007,494,6175727,8,7.3,8.7,184
Tennessee,2008,499,6247411,8,7.3,8.7,196
Tennessee,2009,548,6306019,8.7,8,9.4,202
Tennessee,2010,652,6346105,10.3,9.5,11.1,210
Tennessee,2011,663,6403353,10.4,9.6,11.1,219
Tennessee,2012,748,6456243,11.6,10.8,12.4,217
Tennessee,2013,789,6495978,12.1,11.3,13,207
Tennessee,2014,892,6549352,13.6,12.7,14.5,196
Texas,1999,379,20558220,1.8,1.7,2,116
Texas,2000,457,20851820,2.2,2,2.4,126
Texas,2001,602,21319622,2.8,2.6,3,138
Texas,2002,788,21690325,3.6,3.4,3.9,142
Texas,2003,825,22030931,3.7,3.5,4,149
Texas,2004,836,22394023,3.7,3.5,4,155
Texas,2005,908,22778123,4,3.7,4.2,163
Texas,2006,1107,23359580,4.7,4.5,5,174
Texas,2007,1064,23831983,4.5,4.2,4.7,184
Texas,2008,986,24309039,4.1,3.8,4.3,196
Texas,2009,1197,24801761,4.8,4.6,5.1,202
Texas,2010,1171,25145561,4.7,4.4,4.9,210
Texas,2011,1218,25674681,4.7,4.5,5,219
Texas,2012,1179,26059203,4.5,4.3,4.8,217
Texas,2013,1114,26448193,4.2,4,4.5,207
Texas,2014,1219,26956958,4.5,4.3,4.8,196
Utah,1999,145,2203482,6.6,5.5,7.7,116
Utah,2000,159,2233169,7.1,6,8.2,126
Utah,2001,167,2283715,7.3,6.2,8.4,138
Utah,2002,213,2324815,9.2,7.9,10.4,142
Utah,2003,272,2360137,11.5,10.2,12.9,149
Utah,2004,275,2401580,11.5,10.1,12.8,155
Utah,2005,345,2457719,14,12.6,15.5,163
Utah,2006,343,2525507,13.6,12.1,15,174
Utah,2007,382,2597746,14.7,13.2,16.2,184
Utah,2008,371,2663029,13.9,12.5,15.3,196
Utah,2009,393,2723421,14.4,13,15.9,202
Utah,2010,353,2763885,12.8,11.4,14.1,210
Utah,2011,394,2817222,14,12.6,15.4,219
Utah,2012,438,2855287,15.3,13.9,16.8,217
Utah,2013,444,2900872,15.3,13.9,16.7,207
Utah,2014,471,2942902,16,14.6,17.5,196
Vermont,1999,17,604683,Unreliable,1.6,4.5,116
Vermont,2000,24,608827,3.9,2.5,5.9,126
Vermont,2001,39,612223,6.4,4.5,8.7,138
Vermont,2002,41,615442,6.7,4.8,9,142
Vermont,2003,50,617858,8.1,6,10.7,149
Vermont,2004,41,619920,6.6,4.7,9,155
Vermont,2005,46,621215,7.4,5.4,9.9,163
Vermont,2006,59,622892,9.5,7.2,12.2,174
Vermont,2007,54,623481,8.7,6.5,11.3,184
Vermont,2008,59,624151,9.5,7.2,12.2,196
Vermont,2009,46,624817,7.4,5.4,9.8,202
Vermont,2010,45,625741,7.2,5.2,9.6,210
Vermont,2011,60,626431,9.6,7.3,12.3,219
Vermont,2012,57,626011,9.1,6.9,11.8,217
Vermont,2013,75,626630,12,9.4,15,207
Vermont,2014,72,626562,11.5,9,14.5,196
Virginia,1999,210,7000174,3,2.6,3.4,116
Virginia,2000,260,7078515,3.7,3.2,4.1,126
Virginia,2001,326,7198362,4.5,4,5,138
Virginia,2002,361,7286873,5,4.4,5.5,142
Virginia,2003,374,7366977,5.1,4.6,5.6,149
Virginia,2004,399,7475575,5.3,4.8,5.9,155
Virginia,2005,385,7577105,5.1,4.6,5.6,163
Virginia,2006,427,7673725,5.6,5,6.1,174
Virginia,2007,520,7751000,6.7,6.1,7.3,184
Virginia,2008,501,7833496,6.4,5.8,7,196
Virginia,2009,492,7925937,6.2,5.7,6.8,202
Virginia,2010,400,8001024,5,4.5,5.5,210
Virginia,2011,582,8096604,7.2,6.6,7.8,219
Virginia,2012,547,8185867,6.7,6.1,7.2,217
Virginia,2013,651,8260405,7.9,7.3,8.5,207
Virginia,2014,775,8326289,9.3,8.7,10,196
Washington,1999,372,5842564,6.4,5.7,7,116
Washington,2000,374,5894121,6.3,5.7,7,126
Washington,2001,332,5985722,5.5,4.9,6.1,138
Washington,2002,474,6052349,7.8,7.1,8.5,142
Washington,2003,492,6104115,8.1,7.3,8.8,149
Washington,2004,606,6178645,9.8,9,10.6,155
Washington,2005,629,6257305,10.1,9.3,10.8,163
Washington,2006,689,6370753,10.8,10,11.6,174
Washington,2007,675,6461587,10.4,9.7,11.2,184
Washington,2008,712,6562231,10.8,10.1,11.6,196
Washington,2009,737,6667426,11.1,10.3,11.9,202
Washington,2010,648,6724540,9.6,8.9,10.4,210
Washington,2011,712,6830038,10.4,9.7,11.2,219
Washington,2012,717,6897012,10.4,9.6,11.2,217
Washington,2013,667,6971406,9.6,8.8,10.3,207
Washington,2014,692,7061530,9.8,9.1,10.5,196
West Virginia,1999,34,1811799,1.9,1.3,2.6,116
West Virginia,2000,52,1808344,2.9,2.1,3.8,126
West Virginia,2001,150,1801481,8.3,7,9.7,138
West Virginia,2002,183,1805414,10.1,8.7,11.6,142
West Virginia,2003,203,1812295,11.2,9.7,12.7,149
West Virginia,2004,273,1816438,15,13.2,16.8,155
West Virginia,2005,154,1820492,8.5,7.1,9.8,163
West Virginia,2006,299,1827912,16.4,14.5,18.2,174
West Virginia,2007,347,1834052,18.9,16.9,20.9,184
West Virginia,2008,387,1840310,21,18.9,23.1,196
West Virginia,2009,193,1847775,10.4,9,11.9,202
West Virginia,2010,495,1852994,26.7,24.4,29.1,210
West Virginia,2011,596,1855364,32.1,29.5,34.7,219
West Virginia,2012,513,1855413,27.6,25.3,30,217
West Virginia,2013,518,1854304,27.9,25.5,30.3,207
West Virginia,2014,585,1850326,31.6,29.1,34.2,196
Wisconsin,1999,85,5332666,1.6,1.3,2,116
Wisconsin,2000,117,5363675,2.2,1.8,2.6,126
Wisconsin,2001,143,5406835,2.6,2.2,3.1,138
Wisconsin,2002,173,5445162,3.2,2.7,3.7,142
Wisconsin,2003,203,5479203,3.7,3.2,4.2,149
Wisconsin,2004,226,5514026,4.1,3.6,4.6,155
Wisconsin,2005,281,5546166,5.1,4.5,5.7,163
Wisconsin,2006,352,5577655,6.3,5.7,7,174
Wisconsin,2007,390,5610775,7,6.3,7.6,184
Wisconsin,2008,380,5640996,6.7,6.1,7.4,196
Wisconsin,2009,406,5669264,7.2,6.5,7.9,202
Wisconsin,2010,420,5686986,7.4,6.7,8.1,210
Wisconsin,2011,484,5711767,8.5,7.7,9.2,219
Wisconsin,2012,496,5726398,8.7,7.9,9.4,217
Wisconsin,2013,604,5742713,10.5,9.7,11.4,207
Wisconsin,2014,640,5757564,11.1,10.3,12,196
Wyoming,1999,Suppressed,491780,Suppressed,Suppressed,Suppressed,116
Wyoming,2000,10,493782,Unreliable,1,3.7,126
Wyoming,2001,Suppressed,494657,Suppressed,Suppressed,Suppressed,138
Wyoming,2002,17,500017,Unreliable,2,5.4,142
Wyoming,2003,Suppressed,503453,Suppressed,Suppressed,Suppressed,149
Wyoming,2004,14,509106,Unreliable,1.5,4.6,155
Wyoming,2005,10,514157,Unreliable,0.9,3.6,163
Wyoming,2006,14,522667,Unreliable,1.5,4.5,174
Wyoming,2007,25,534876,4.7,3,6.9,184
Wyoming,2008,48,546043,8.8,6.5,11.7,196
Wyoming,2009,34,559851,6.1,4.2,8.5,202
Wyoming,2010,49,563626,8.7,6.4,11.5,210
Wyoming,2011,47,568158,8.3,6.1,11,219
Wyoming,2012,47,576412,8.2,6,10.8,217
Wyoming,2013,52,582658,8.9,6.7,11.7,207
Wyoming,2014,57,584153,9.8,7.4,12.6,196
